country,pi,u_icer,ll_icer,ul_icer
Mozambique,0.06,1059.2724521970897,810.9208414684506,1307.6240629257288
Mozambique,0.061,1041.9073300299244,797.6270571820826,1286.1876028777663
Mozambique,0.062,1025.1023730939578,784.7621046468878,1265.4426415410278
Mozambique,0.063,1008.830906854371,772.3055633032862,1245.3562504054557
Mozambique,0.064,993.0679239347716,760.2382888766725,1225.8975589928705
Mozambique,0.065,977.7899558742366,748.5423152016467,1207.0375965468265
Mozambique,0.066,962.9749565428087,737.2007649713188,1188.7491481142988
Mozambique,0.067,948.6021959973938,726.1977684792095,1171.0066235155782
Mozambique,0.068,934.6521637033144,715.5183895309858,1153.785937875643
Mozambique,0.069,921.1064801713824,705.1485577986526,1137.0644025441122
Mozambique,0.07,907.947816168934,695.0750069729577,1120.8206253649103
Mozambique,0.07100000000000001,895.1598187581038,685.2852181423525,1105.0344193738551
Mozambique,0.07200000000000001,882.7270434975748,675.7673678903755,1089.686719104774
Mozambique,0.07300000000000001,870.6348922167859,666.5102806590003,1074.7595037745716
Mozambique,0.07400000000000001,858.869555835478,657.5033849744194,1060.2357266965364
Mozambique,0.07500000000000001,847.4179617576716,648.7366731747604,1046.0992503405828
Mozambique,0.07600000000000001,836.2677254187549,640.2006643171978,1032.334786520312
Mozambique,0.07700000000000001,825.4071056081218,631.886369975416,1018.9278412408277
Mozambique,0.078,814.8249632285306,623.785262668039,1005.8646637890222
Mozambique,0.079,804.5107231876632,615.8892466848995,993.1321996904269
Mozambique,0.08,794.4543391478172,608.1906311013381,980.7180471942963
Mozambique,0.081,784.6462608867331,600.6821047914449,968.6104169820213
Mozambique,0.082,775.077404046651,593.356713269598,956.7980948237041
Mozambique,0.083,765.7391220701853,586.2078372061088,945.2704069342618
Mozambique,0.084,756.6231801407783,579.229172477465,934.0171878040917
Mozambique,0.085,747.7217309626515,572.4147116247887,923.0287503005143
Mozambique,0.08600000000000001,739.0272922305277,565.7587266058958,912.2958578551595
Mozambique,0.08700000000000001,730.5327256531652,559.2557527368626,901.8096985694679
Mozambique,0.08800000000000001,722.2312174071066,552.9005737284892,891.5618610857239
Mozambique,0.08900000000000001,714.1162599081503,546.6882077315397,881.5443120847608
Mozambique,0.09000000000000001,706.1816347980598,540.6138943123004,871.7493752838192
Mozambique,0.09100000000000001,698.4213970530262,534.6730822868906,862.1697118191619
Mozambique,0.09200000000000001,690.8298601285367,528.8614183489894,852.7983019080839
Mozambique,0.093,683.4015820626386,523.1747364312585,843.6284276940187
Mozambique,0.094,676.1313524662276,517.6090477458196,834.6536571866355
Mozambique,0.095,669.0141803350041,512.1605314537585,825.8678292162497
Mozambique,0.096,662.045282623181,506.82552591778153,817.2650393285805
Mozambique,0.097,655.220073523973,501.60052049594896,808.8396265519971
Mozambique,0.098,648.5341544063814,496.4821478378269,800.5861609749359
Mozambique,0.099,641.9833043618726,491.4671766475458,792.4994320761994
Mozambique,0.1,635.5634713182538,486.5525048810705,784.5744377554372
Mozambique,0.101,629.2707636814395,481.7351533475944,776.8063740152845
Mozambique,0.10200000000000001,623.1014424688763,477.0122596873239,769.1906252504286
Mozambique,0.10300000000000001,617.0519139012173,472.38107270006833,761.72275510236625
Mozambique,0.10400000000000001,611.1187224213978,467.83894700102917,754.3984978417665
Mozambique,0.10500000000000001,605.2985441126226,463.3833379819718,747.2137502432734
Mozambique,0.10600000000000001,599.5881804889187,459.0117970576135,740.164563920224
Mozambique,0.10700000000000001,593.9845526338821,454.7219671785706,733.2471380891936
Mozambique,0.10800000000000001,588.4846956650498,450.51157859358364,726.457812736516
Mozambique,0.10900000000000001,583.0857535029851,446.37844484501875,719.7930621609514
Mozambique,0.11,577.7849739256853,442.32045898279125,713.2494888685794
Mozambique,0.111,572.5797038903188,438.3355899829464,706.8238177976912
Mozambique,0.112,567.4673851055837,434.4218793580986,700.5128908530689
Mozambique,0.113,562.4455498391627,430.57743794784994,694.3136617304755
Mozambique,0.114,557.5118169458367,426.800442878132,688.2231910135414
Mozambique,0.115,552.6638881028293,423.0891346791916,682.2386415264671
Mozambique,0.116,547.899544239874,419.44181455264686,676.3572739271011
Mozambique,0.117,543.2166421523538,415.8568417786926,670.576442526015
Mozambique,0.11800000000000001,538.6131112866558,412.3326312551444,664.8935913181672
